MECH473,MECH,473,Control System Design
MECH474,MECH,474,Mechatronics
MECH490A,MECH,490A,Capstone Mechanical Engineering Design Project
MECH490B,MECH,490B,Capstone Mechanical Engineering Design Project
MECH490C,MECH,490C,Capstone Mechanical Engineering Design Project
SOEN228,SOEN,228,System Hardware
SOEN287,SOEN,287,Web Programming
SOEN321,SOEN,321,Information Systems Security
SOEN331,SOEN,331,Introduction to Formal Methods for Software Engineering
SOEN341,SOEN,341,Software Process
SOEN342,SOEN,342,Software Requirements and Specifications
SOEN343,SOEN,343,Software Architecture and Design I
SOEN344,SOEN,344,Software Architecture and Design II
SOEN345,SOEN,345,Software Testing, Verification and Quality Assurance
SOEN357,SOEN,357,User Interface Design
SOEN384,SOEN,384,Management, Measurement and Quality Control
SOEN385,SOEN,385,Control Systems and Applications
SOEN387,SOEN,387,Web-Based Enterprise Application Design
SOEN390,SOEN,390,Software Engineering Team Design Project
SOEN422,SOEN,422,Embedded Systems and Software
SOEN423,SOEN,423,Distributed Systems
SOEN487,SOEN,487,Web Services and Applications
SOEN490,SOEN,490,Capstone Software Engineering Design Project
SOEN498,SOEN,498,TOPICS/SOFTWARE ENGINEERING
